Text_ID,Work_Title,Author,Year,Character_Name,Excerpt,Gender,Race,Class,Traits,Contextual_Embedding,Group_Label,Bias_Association_Score,WSVM_Label
1,Moby-Dick,Herman Melville,1851,Character_1,"Character_1 is described as noble, heroic, reflecting Unknown male identity.",Male,Unknown,Working,"noble, heroic",[768-dim vector],Unknown_Male_Working,0.52,1
2,Adventures of Huckleberry Finn,Mark Twain,1884,Character_2,"Character_2 is described as submissive, oppressed, reflecting Unknown male identity.",Male,Unknown,Unknown,"submissive, oppressed",[768-dim vector],Unknown_Male_Unknown,0.74,1
3,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_3,"Character_3 is described as noble, tragic, reflecting White male identity.",Male,White,Middle,"noble, tragic",[768-dim vector],White_Male_Middle,0.39,0
4,White Noise,Don DeLillo,1985,Character_4,"Character_4 is described as heroic, oppressed, reflecting Mixed male identity.",Male,Mixed,Middle,"heroic, oppressed",[768-dim vector],Mixed_Male_Middle,0.33,1
5,The Great Gatsby,F. Scott Fitzgerald,1925,Character_5,"Character_5 is described as brave, defiant, reflecting Mixed unknown identity.",Unknown,Mixed,Working,"brave, defiant",[768-dim vector],Mixed_Unknown_Working,0.66,1
6,Invisible Man,Ralph Ellison,1952,Character_6,"Character_6 is described as fearless, loving, reflecting Indigenous non-binary identity.",Non-binary,Indigenous,Middle,"fearless, loving",[768-dim vector],Indigenous_Non-binary_Middle,0.31,1
7,Moby-Dick,Herman Melville,1851,Character_7,"Character_7 is described as caring, heroic, reflecting Asian male identity.",Male,Asian,Upper,"caring, heroic",[768-dim vector],Asian_Male_Upper,0.8,0
8,White Noise,Don DeLillo,1985,Character_8,"Character_8 is described as heroic, rebellious, reflecting White non-binary identity.",Non-binary,White,Enslaved/Servant,"heroic, rebellious",[768-dim vector],White_Non-binary_Enslaved/Servant,0.41,0
9,Invisible Man,Ralph Ellison,1952,Character_9,"Character_9 is described as caring, fearless, reflecting Mixed male identity.",Male,Mixed,Working,"caring, fearless",[768-dim vector],Mixed_Male_Working,0.48,1
10,Moby-Dick,Herman Melville,1851,Character_10,"Character_10 is described as independent, submissive, reflecting Unknown male identity.",Male,Unknown,Middle,"independent, submissive",[768-dim vector],Unknown_Male_Middle,0.56,0
11,The Great Gatsby,F. Scott Fitzgerald,1925,Character_11,"Character_11 is described as visionary, caring, reflecting Asian male identity.",Male,Asian,Working,"visionary, caring",[768-dim vector],Asian_Male_Working,0.67,0
12,Adventures of Huckleberry Finn,Mark Twain,1884,Character_12,"Character_12 is described as resilient, submissive, reflecting Indigenous non-binary identity.",Non-binary,Indigenous,Middle,"resilient, submissive",[768-dim vector],Indigenous_Non-binary_Middle,0.48,1
13,White Noise,Don DeLillo,1985,Character_13,"Character_13 is described as defiant, visionary, reflecting Mixed female identity.",Female,Mixed,Middle,"defiant, visionary",[768-dim vector],Mixed_Female_Middle,0.57,1
14,Invisible Man,Ralph Ellison,1952,Character_14,"Character_14 is described as noble, loving, reflecting Unknown non-binary identity.",Non-binary,Unknown,Unknown,"noble, loving",[768-dim vector],Unknown_Non-binary_Unknown,0.42,1
15,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_15,"Character_15 is described as strong, resilient, reflecting White female identity.",Female,White,Working,"strong, resilient",[768-dim vector],White_Female_Working,0.66,0
16,Moby-Dick,Herman Melville,1851,Character_16,"Character_16 is described as fearless, devoted, reflecting Mixed female identity.",Female,Mixed,Working,"fearless, devoted",[768-dim vector],Mixed_Female_Working,0.66,0
17,Invisible Man,Ralph Ellison,1952,Character_17,"Character_17 is described as hopeful, noble, reflecting Black unknown identity.",Unknown,Black,Working,"hopeful, noble",[768-dim vector],Black_Unknown_Working,0.34,1
18,Song of Solomon,Toni Morrison,1977,Character_18,"Character_18 is described as oppressed, strong, reflecting Unknown non-binary identity.",Non-binary,Unknown,Unknown,"oppressed, strong",[768-dim vector],Unknown_Non-binary_Unknown,0.88,1
19,Beloved,Toni Morrison,1987,Character_19,"Character_19 is described as devoted, submissive, reflecting Black female identity.",Female,Black,Unknown,"devoted, submissive",[768-dim vector],Black_Female_Unknown,0.48,0
20,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_20,"Character_20 is described as oppressed, submissive, reflecting Black male identity.",Male,Black,Middle,"oppressed, submissive",[768-dim vector],Black_Male_Middle,0.71,1
21,Invisible Man,Ralph Ellison,1952,Character_21,"Character_21 is described as tragic, resilient, reflecting Mixed unknown identity.",Unknown,Mixed,Enslaved/Servant,"tragic, resilient",[768-dim vector],Mixed_Unknown_Enslaved/Servant,0.37,1
22,Song of Solomon,Toni Morrison,1977,Character_22,"Character_22 is described as heroic, resilient, reflecting Unknown male identity.",Male,Unknown,Upper,"heroic, resilient",[768-dim vector],Unknown_Male_Upper,0.32,1
23,Beloved,Toni Morrison,1987,Character_23,"Character_23 is described as defiant, visionary, reflecting Indigenous male identity.",Male,Indigenous,Enslaved/Servant,"defiant, visionary",[768-dim vector],Indigenous_Male_Enslaved/Servant,0.46,1
24,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_24,"Character_24 is described as tragic, rebellious, reflecting Mixed non-binary identity.",Non-binary,Mixed,Middle,"tragic, rebellious",[768-dim vector],Mixed_Non-binary_Middle,0.49,1
25,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_25,"Character_25 is described as defiant, tragic, reflecting Black female identity.",Female,Black,Working,"defiant, tragic",[768-dim vector],Black_Female_Working,0.63,0
26,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_26,"Character_26 is described as rebellious, caring, reflecting Asian non-binary identity.",Non-binary,Asian,Upper,"rebellious, caring",[768-dim vector],Asian_Non-binary_Upper,0.88,1
27,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_27,"Character_27 is described as submissive, heroic, reflecting White female identity.",Female,White,Middle,"submissive, heroic",[768-dim vector],White_Female_Middle,0.86,1
28,To Kill a Mockingbird,Harper Lee,1960,Character_28,"Character_28 is described as hopeful, devoted, reflecting Mixed male identity.",Male,Mixed,Middle,"hopeful, devoted",[768-dim vector],Mixed_Male_Middle,0.66,1
29,Song of Solomon,Toni Morrison,1977,Character_29,"Character_29 is described as oppressed, fearless, reflecting Indigenous female identity.",Female,Indigenous,Unknown,"oppressed, fearless",[768-dim vector],Indigenous_Female_Unknown,0.35,0
